Drill Id,Actual_RUL,Estimated_RUL
Drill 11,4,19.10593677
,3,18.88757614
,2,19.07899119
,1,1.591037676
,0,15.12603543
Drill 12,4,18.8884823
,3,18.30896735
,2,15.44144522
,1,18.25628218
,0,15.04621987
Drill 13,4,18.96209184
,3,13.32423157
,2,18.77782381
,1,18.12602632
,0,17.93119083
Drill 14,5,18.47891757
,4,18.87630491
,3,18.901045
,2,17.42683946
,1,0.773783811
